precision,M,K,N,tflops,source,out_dtype,kernel_name,error
fp4_e2m1,128,256,1024,9.08448,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,256,1024,3.3062462021372965,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,256,8192,71.4837,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,256,8192,33.18278580120221,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,256,32768,184.898,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,256,32768,134.09703962048104,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,256,131072,381.436,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,256,131072,549.1161935659429,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,256,524288,485.867,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,256,524288,741.1505101505943,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,512,1024,17.671400000000002,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,512,1024,8.597527909601283,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,512,8192,138.369,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,512,8192,63.12563817668212,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,512,32768,382.878,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,512,32768,269.6759683703161,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,512,131072,710.852,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,512,131072,982.6501471960536,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,512,524288,871.632,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,512,524288,1055.6117316634002,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,576,1024,19.730700000000002,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,576,1024,9.518087911201343,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,576,8192,150.065,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,576,8192,71.56158637047687,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,576,32768,420.014,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,576,32768,286.3006082562926,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,576,131072,738.723,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,576,131072,1086.0016031531693,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
fp4_e2m1,128,576,524288,792.325,example72a,bf16,72a_nvfp4_bf16,
fp8_e4m3,128,576,524288,1041.7036655227548,torch_scaled_mm,bf16,torch_scaled_mm_e4m3,
