# v10 NVFP4 decode — nsys CUDA GPU Kernel Summary (B200, sm_100, 2026-06-29)
# Captured with Nsight Systems 2025.3.2 on a vast.ai B200 (unprivileged AIO container; nsys works
# without the ncu ERR_NVGPUCTRPERM gate). Shape: 100 launches of v10_nvfp4 @ B=1 H_kv=1 N_k=1048576 d=128.
# Command: nsys profile -o /tmp/v10_nsys --trace cuda python -m bench.regime --profile 1,1,1048576,128 --backend v10_nvfp4
#          nsys stats --report cuda_gpu_kern_sum /tmp/v10_nsys.nsys-rep
#
# HEADLINE: the split-KV PARTIAL kernel is 99.3% of all GPU time; the LSE-merge is 0.04% (~2550x smaller);
# the torch at::native:: kernels are the one-time NVFP4 KV-pool quantization (each <=0.1%, negligible).
# => per-CTA single-dominant-kernel schedule, confirmed. (No L2-hit-rate here; that is the ncu deliverable.)

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name
 --------  ---------------  ---------  ----------  ----------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     99.3       1429194031        100  14291940.3  14294424.0  14102165  14309496      20556.2  void <unnamed>::nvfp4_partial_kernel<(int)32, (int)128>(const __half *, const unsigned char *, cons…
      0.1          2035966          4    508991.5    507719.5    103777    916750     467518.8  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.1          1110609          4    277652.3    277636.0    223652    331685      61111.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1           933582          2    466791.0    466791.0    463783    469799       4254.0  void at::native::<unnamed>::searchsorted_cuda_kernel<float, long>(T2 *, const T1 *, const T1 *, con…
      0.1           921774          6    153629.0    154386.0    150658    156067       2321.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<ch…
      0.1           818829          2    409414.5    409414.5    406631    412198       3936.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1           764076          4    191019.0    190323.0     21792    361638     195280.5  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0           704363          4    176090.8    175779.0     34464    318341     163278.8  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0           560971        100      5609.7      5664.0      5440      5760        100.8  <unnamed>::nvfp4_merge_kernel(const float *, const float *, const float *, float *, int, int, int)
      0.0           537608          3    179202.7    265668.0      2176    269764     153323.3  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.0           313860          2    156930.0    156930.0    156802    157058        181.0  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0           286117          2    143058.5    143058.5    142787    143330        384.0  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0           188291          2     94145.5     94145.5     93089     95202       1494.1  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float…
      0.0           151330          2     75665.0     75665.0     74881     76449       1108.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<unsigned char, uns…
      0.0           140418          2     70209.0     70209.0     70113     70305        135.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<unsigned char, uns…
      0.0            61025          8      7628.1      7616.5      7488      7808        120.9  void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<…
      0.0            33089          6      5514.8      7296.0      1536      7616       2938.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      0.0            22913          4      5728.3      5888.0      1760      9377       4116.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(a…
      0.0            16128          2      8064.0      8064.0      8064      8064          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::float8_copy_kernel_cuda(at::Tens…
      0.0            14848          2      7424.0      7424.0      7360      7488         90.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.0             6976          2      3488.0      3488.0      3392      3584        135.8  void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::DeviceRadixSortPolicy…
      0.0             5249          2      2624.5      2624.5      2624      2625          0.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
