Generating SQLite file /tmp/v11_nsys3.sqlite from /tmp/v11_nsys3.nsys-rep
Processing [/tmp/v11_nsys3.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     99.9      38708710496        100  387087105.0  387100485.0  385614049  387214935     151903.8  void <unnamed>::mla_partial_kernel<(int)32, (int)576, (int)512>(const __half *, const unsigned char…
      0.0          4310654          4    1077663.5    1080552.0     193729    1955821    1012640.4  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.0          2383345          5     476669.0     241602.0     241089    1414986     524537.1  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0          2092815          6     348802.5     349298.5     345474     350690       1884.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<ch…
      0.0          1985997          1    1985997.0    1985997.0    1985997    1985997          0.0  void at::native::<unnamed>::searchsorted_cuda_kernel<float, long>(T2 *, const T1 *, const T1 *, con…
      0.0          1747084          2     873542.0     873542.0     872710     874374       1176.6  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0          1657356          3     552452.0     774885.0     105153     777318     387374.2  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0          1478731          2     739365.5     739365.5     141313    1337418     845774.0  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0          1103911          2     551955.5     551955.5       2496    1101415     777053.1  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.0           671909          1     671909.0     671909.0     671909     671909          0.0  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0           609060          1     609060.0     609060.0     609060     609060          0.0  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0           435523          2     217761.5     217761.5     217122     218401        904.4  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float…
      0.0           349953        100       3499.5       3504.0       3392       3616         78.6  <unnamed>::mla_merge_kernel(const float *, const float *, const float *, float *, int, int, int)    
      0.0           320226          1     320226.0     320226.0     320226     320226          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<unsigned char, uns…
      0.0           305378          1     305378.0     305378.0     305378     305378          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<unsigned char, uns…
      0.0            94368          3      31456.0      45568.0       1536      47264      25925.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      0.0            45792          1      45792.0      45792.0      45792      45792          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.0            42304          2      21152.0      21152.0       1568      40736      27696.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(a…
      0.0            36256          1      36256.0      36256.0      36256      36256          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::float8_copy_kernel_cuda(at::Tens…
      0.0            29792          4       7448.0       7472.0       7296       7552        115.0  void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<…
      0.0             2944          1       2944.0       2944.0       2944       2944          0.0  void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::DeviceRadixSortPolicy…
      0.0             2080          1       2080.0       2080.0       2080       2080          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0             2016          1       2016.0       2016.0       2016       2016          0.0  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<unsigned long, (int)2, void…
      0.0             1728          1       1728.0       1728.0       1728       1728          0.0  void at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel<at_cuda_detail::cub::DeviceRadixSortPol…
      0.0             1696          1       1696.0       1696.0       1696       1696          0.0  void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<ch…
      0.0             1600          1       1600.0       1600.0       1600       1600          0.0  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0             1344          1       1344.0       1344.0       1344       1344          0.0  void <unnamed>::randperm_handle_duplicate_keys_kernel<int, at::native::<unnamed>::OpaqueType<(int)8…

